dataset_name;projection_name;n_components;trustworthiness;continuity;shepard_correlation;normalized_stress
Reuters;FA;3;0.84809498;0.89839071;0.60502454;1.10727794
Reuters;G-RP;2;0.54036576;0.69671366;0.04047721;0.22139863
Reuters;G-RP;3;0.55679373;0.73582302;0.06041502;0.15472837
Reuters;H-LLE;2;0.64698107;0.77826171;0.33989213;0.99270596
Reuters;H-LLE;3;0.66488009;0.81435857;0.23233325;0.98885895
Reuters;I-PCA;2;0.80474752;0.83689706;0.71519380;0.48829090
Reuters;I-PCA;3;0.84251974;0.85385878;0.68505570;0.45693816
Reuters;ISO;2;0.82654057;0.84690697;0.55488961;1.75248717
Reuters;ISO;3;0.85023504;0.85955096;0.53217643;2.04749020
Reuters;K-PCA-P;2;0.80471181;0.83692042;0.71624944;0.96328965
Reuters;K-PCA-P;3;0.84796936;0.86608630;0.69009026;0.96010863
Reuters;K-PCA-R;2;0.80471178;0.83692038;0.71624942;0.96998072
Reuters;K-PCA-R;3;0.84796934;0.86608620;0.69009021;0.96737694
Reuters;K-PCA-S;2;0.80469021;0.83694708;0.71634112;0.98615263
Reuters;K-PCA-S;3;0.84777011;0.86644364;0.69035480;0.98494538
Reuters;L-LTSA;2;0.81479521;0.84157165;0.61080302;0.97580235
Reuters;L-LTSA;3;0.83599824;0.84722870;0.63300595;0.96863761
Reuters;L-MDS;2;0.80498568;0.83581265;0.71525556;0.49020220
Reuters;L-MDS;3;0.84118458;0.85817603;0.69164666;0.44945166
Reuters;LE;2;0.85341961;0.89500134;0.67876755;0.99910092
Reuters;LE;3;0.87680919;0.91112489;0.62568475;0.99870780
Reuters;LLE;2;0.87045433;0.92241445;0.50549393;0.97915860
Reuters;LLE;3;0.89570101;0.92777792;0.49474886;0.97587301
Reuters;LPP;2;0.73013912;0.73490469;0.60829091;0.99578793
Reuters;LPP;3;0.72171782;0.73685537;0.59846376;0.99525684
Reuters;LTSA;2;0.66473850;0.54863478;0.10835528;0.99850729
Reuters;LTSA;3;0.61575534;0.49441764;-0.00981380;0.99739061
Reuters;M-LLE;2;0.75125412;0.85420298;0.45357917;0.99902884
Reuters;M-LLE;3;0.74444790;0.85530411;0.56693158;0.99862709
Reuters;MDS;2;0.81439421;0.78290148;0.68964207;0.14390418
Reuters;MDS;3;0.80315904;0.77036768;0.61098440;0.08783231
Reuters;N-MDS;2;0.53598751;0.51845785;-0.00184167;0.33859313
Reuters;N-MDS;3;0.54396166;0.51236647;-0.00003252;0.29551291
Reuters;NMF;2;0.78710804;0.81014904;0.71593954;0.89072003
Reuters;NMF;3;0.81077970;0.82551576;0.69741550;0.86794514
Reuters;NPE;2;0.80613152;0.83264727;0.71848541;0.97446054
Reuters;NPE;3;0.84132748;0.83558331;0.71117839;0.97297997
Reuters;PCA;2;0.80465851;0.83693492;0.71630148;0.48776311
Reuters;PCA;3;0.84783429;0.86629688;0.69024693;0.44862581
Reuters;S-PCA;2;0.79810370;0.82909528;0.68794215;0.52536688
Reuters;S-PCA;3;0.81505648;0.84131064;0.65459401;0.49878858
Reuters;S-RP;2;0.66490139;0.70493162;0.08874642;0.28445509
Reuters;S-RP;3;0.66195293;0.72124301;0.02678841;0.21576570
